Date,ConfigId,Filter,StorageClass,ObjectAge,ObjectCount,DataUploaded_MB,Storage_MB,DataRetrieved_MB,GetRequestCount,CumulativeAccessRatio,ObjectAgeForSIATransition,RecommendedObjectAgeForSIATransition
2023-05-03,config101,,STANDARD,365-729,,,,,,,,
2023-05-02,config101,,STANDARD,ALL,2,0.0035,5.0E-4,0.007,46,12.8548951,,
2023-05-02,config101,,STANDARD,045-059,,,,,,,,
2023-05-02,config101,,STANDARD,015-029,,,,,,,,
2023-05-03,config101,,STANDARD,015-029,,,,,,,,
2023-05-03,config101,,STANDARD,120-149,,,,,,,,
2023-05-03,config101,,STANDARD,ALL,4,,0.0013,,,3.8296875,,
2023-05-02,config101,,STANDARD,075-089,,,,,,,,
2023-05-02,config101,,STANDARD,180-364,,,,,,,,
2023-05-03,config101,,STANDARD,000-014,,,,,,,,
2023-05-02,config101,,STANDARD,060-074,,,,,,,,
2023-05-02,config101,,STANDARD,730+,,,,,,,,
2023-05-03,config101,,STANDARD,090-119,,,,,,,,
2023-05-03,config101,,STANDARD,075-089,,,,,,,,
2023-05-02,config101,,STANDARD,030-044,,,,,,,,
2023-05-03,config101,,STANDARD,730+,,,,,,,,
2023-05-02,config101,,STANDARD,090-119,,,,,,,,
2023-05-03,config101,,STANDARD,060-074,,,,,,,,
2023-05-02,config101,,STANDARD,365-729,,,,,,,,
2023-05-02,config101,,STANDARD,150-179,,,,,,,,
2023-05-03,config101,,STANDARD,030-044,,,,,,,,
2023-05-02,config101,,STANDARD,000-014,,,,,,,,
2023-05-03,config101,,STANDARD,180-364,,,,,,,,
2023-05-03,config101,,STANDARD,150-179,,,,,,,,
2023-05-02,config101,,STANDARD,120-149,,,,,,,,
2023-05-03,config101,,STANDARD,045-059,,,,,,,,
